category_slug,pid,product_slug,json_file,asin,updated_at
evaporative-coolers,33674d04-d657-11ee-9c7c-37d09b6bdb57,,output_json/evaporative-coolers/raw/B072B8SGKY.raw.json,B072B8SGKY,2024-03-05 16:10:30.272012
evaporative-coolers,6979ec38-b15b-11ee-92e6-6d304ea26a0e,,output_json/evaporative-coolers/raw/B08NWH8F9J.raw.json,B08NWH8F9J,2024-03-05 16:10:36.828898
evaporative-coolers,ce438b2e-b15b-11ee-92e6-6d304ea26a0e,,output_json/evaporative-coolers/raw/B0BY2RZ2V8.raw.json,B0BY2RZ2V8,2024-03-05 16:10:49.485032
evaporative-coolers,ea3297c6-b15b-11ee-92e6-6d304ea26a0e,,output_json/evaporative-coolers/raw/B0CL6LBPX1.raw.json,B0CL6LBPX1,2024-03-05 16:10:52.738690
evaporative-coolers,51cbd6d6-b15c-11ee-92e6-6d304ea26a0e,,output_json/evaporative-coolers/raw/B07DQVNSP8.raw.json,B07DQVNSP8,2024-03-05 16:10:31.294515
evaporative-coolers,536c30a0-8cba-11ed-a7ba-930ee103a0a2,honeywell-470-588-cfm-portable-evaporative-tower-cooler-with-fan-humidifier-remote-435-tc30peu-white,output_json/evaporative-coolers/raw/B07QYBYVZH.raw.json,B07QYBYVZH,2024-03-05 16:30:47.444047
evaporative-coolers,3ab44e47-8cba-11ed-a7ba-930ee103a0a2,hessaire-mc18m-portable-evaporative-cooler-gray-1300-cfm-cools-500-square-feet,output_json/evaporative-coolers/raw/B078HFGJ3T.raw.json,B078HFGJ3T,2024-03-05 16:30:34.206998
evaporative-coolers,9c18ab8c-b15d-11ee-92e6-6d304ea26a0e,,output_json/evaporative-coolers/raw/B0C3MS3XHY.raw.json,B0C3MS3XHY,2024-03-05 16:10:51.181717
evaporative-coolers,1c854992-b15e-11ee-92e6-6d304ea26a0e,,output_json/evaporative-coolers/raw/B08SGFJ2PL.raw.json,B08SGFJ2PL,2024-03-05 16:10:38.312090
evaporative-coolers,ad50827a-b15e-11ee-92e6-6d304ea26a0e,,output_json/evaporative-coolers/raw/B0028AYQDC.raw.json,B0028AYQDC,2024-03-05 16:10:27.152818
evaporative-coolers,e149c406-b15e-11ee-92e6-6d304ea26a0e,,output_json/evaporative-coolers/raw/B091CKVY9F.raw.json,B091CKVY9F,2024-03-05 16:10:40.703240
evaporative-coolers,435a35c2-b15f-11ee-92e6-6d304ea26a0e,,output_json/evaporative-coolers/raw/B09VZNR88Q.raw.json,B09VZNR88Q,2024-03-05 16:10:46.497430
evaporative-coolers,ce290780-b170-11ee-92e6-6d304ea26a0e,,output_json/evaporative-coolers/raw/B0C31Y8SRP.raw.json,B0C31Y8SRP,2024-03-05 16:10:50.836612
evaporative-coolers,2e981d0e-b171-11ee-92e6-6d304ea26a0e,,output_json/evaporative-coolers/raw/B07TBD9KN2.raw.json,B07TBD9KN2,2024-03-05 16:10:33.122235
evaporative-coolers,43a222f8-b171-11ee-92e6-6d304ea26a0e,,output_json/evaporative-coolers/raw/B0CGQYTYZ3.raw.json,B0CGQYTYZ3,2024-03-05 16:10:52.112157
evaporative-coolers,61e36ff6-b171-11ee-92e6-6d304ea26a0e,,output_json/evaporative-coolers/raw/B0CNRQBQCY.raw.json,B0CNRQBQCY,2024-03-05 16:10:53.205559
evaporative-coolers,7a97540e-b171-11ee-92e6-6d304ea26a0e,,output_json/evaporative-coolers/raw/B0CNPK5CWS.raw.json,B0CNPK5CWS,2024-03-05 16:10:52.968504
evaporative-coolers,c4493268-d659-11ee-9c7c-37d09b6bdb57,,output_json/evaporative-coolers/raw/B0BTPPHD8W.raw.json,B0BTPPHD8W,2024-03-05 16:10:48.714670
